"Time","EventSeriesID","TaskType","ObjectType","ObjectName","ObjectID","Warning"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Taking a full backup of disk '[amer1-personal02-purex50] am1-jeffinou-w1/am1-jeffinou-w1_1.vmdk' from virtual machine 'am1-jeffinou-w1' because the current change id was not found. In particular this happens whenever change block tracking is reset"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Taking a full backup of disk '[amer1-personal02-purex50] am1-jeffinou-w1/am1-jeffinou-w1.vmdk' from virtual machine 'am1-jeffinou-w1' because the current change id was not found. In particular this happens whenever change block tracking is reset"
"2021-08-25T16:13:29.304Z","24f3caf3-6220-4ae6-be41-9fb551d80571","Backup","VmwareVm","am1-kelvchow-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4514","Change block tracking has been reset for am1-kelvchow-w1."
"2021-08-25T16:13:29.304Z","24f3caf3-6220-4ae6-be41-9fb551d80571","Backup","VmwareVm","am1-kelvchow-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4514","Change block tracking has been reset from virtual machine 'am1-kelvchow-w1'. Next backup is going to be a full backup of this disk"
"2021-08-25T16:13:29.304Z","24f3caf3-6220-4ae6-be41-9fb551d80571","Backup","VmwareVm","am1-kelvchow-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4514","Taking a full backup of disk '[amer1-personal02-purex50] am1-kelvchow-w1/am1-kelvchow-w1.vmdk' from virtual machine 'am1-kelvchow-w1' because the current change id was not found. In particular this happens whenever change block tracking is reset"
"2021-08-25T16:52:52.624Z","3999a137-53d8-4f90-9afb-480154b39a10","Backup","VmwareVm","am1-chridert-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1636150","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T16:52:52.624Z","3999a137-53d8-4f90-9afb-480154b39a10","Backup","VmwareVm","am1-chridert-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1636150","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T17:11:01.719Z","83059a6f-78a5-4f2c-9d48-bf29f1a9013e","Backup","VmwareVm","am1-aarosmith-w2","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1643988","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T17:11:01.719Z","83059a6f-78a5-4f2c-9d48-bf29f1a9013e","Backup","VmwareVm","am1-aarosmith-w2","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1643988","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T17:43:28.100Z","48d9a890-fd62-4fdf-98b0-abed2a71dfa3","Backup","VmwareVm","am1-jakerobi-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1476551","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-jakerobi-w1"
"2021-08-25T17:43:28.100Z","48d9a890-fd62-4fdf-98b0-abed2a71dfa3","Backup","VmwareVm","am1-jakerobi-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1476551","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
